Chrom	Start	End	Strand	GSC Myeloid Panel	ICC/WHO?	UHN Myeloid Panel	Illumina TrueSight Myeloid Panel	LOD list	Gene name	Description	Tier	FDA-approved drugs (OncoKB)	WHO classification	ICC classification	Most common fusion	Partner genes/ variants	Typical clinical and BM manifestations	Targeted therapy	Disease	Prognosis	Additional cytogenetics
chr9	130713043	130887675	plus	No	Yes	Yes	Yes	No	ABL1	Gene fusion	1A if fused with BCR, otherwise 3A	Nilotinib	Acute myeloid leukaemia with BCR::ABL1 fusion, (WHO, PMID: 35732831).	AML with t(9;22)(q34.1;q11.2)/BCR::ABL1§ = 20%, (ICC, PMID: 35767897).	BCR	NA	NA	NA	AML	Optical Genome Mapping detected a translocation t(9;22)(q34.1;q11.2) with a variant allele frequency (VAF) of [%]. The t(9;22)(q34.1;q11.2) is a recurrent abnormality resulting in a BCR::ABL1 fusion. In the context of AML it is considered to have an adverse prognosis according to the ELN 2022 (PMID: 35797463).	NA
chr1	179099329	179229677	minus	Expanded	No	Yes	No	No	ABL2	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr6	167826910	167972023	plus	No	No	Yes	No	No	AFDN	FUS	1A if fused to KMT2A, otherwise 3A	None	NA	NA	NA	NA	NA	NA	AML	Optical Genome Mapping detected a translocation t(6;11)(q27;q23.3) with a variant allele frequency (VAF) of [%]. The t(6;11)(q27;q23.3) is a recurrent abnormality resulting in a AFDN::KMT2A fusion. In the context of AML it is considered to have a adverse prognosis according to the ELN 2022 (PMID: 35797463).	NA
chr4	86935010	87141039	plus	No	No	Yes	No	No	AFF1	FUS	1A if fused to KMT2A, otherwise 3A	None	NA	NA	NA	NA	NA	NA	AML	Optical Genome Mapping detected a translocation t(4;11)(q21.3;q23.3) with a variant allele frequency (VAF) of [%]. The t(4;11)(q21.3;q23.3) is a recurrent abnormality resulting in a AFF1::KMT2A fusion. In the context of AML it is considered to have an adverse prognosis according to the ELN 2022 (PMID: 35797463).	NA
chrX	55009055	55030977	minus	Expanded	No	No	No	No	ALAS2	Exon, 7	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2	29192773	29921586	minus	No	No	Yes	No	No	ALK	FUS	2	Lorlatinib	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	26973793	27100494	minus	No	Yes	Yes	No	No	ANKRD26	Mutated gene	1A	None	Myeloid neoplasms with germline predisposition and pre-existing platelet disorder, (WHO, PMID: 35732831).	Myeloid neoplasms with germline ANKRD26 mutation, (ICC, PMID: 35767897).	NA	NA	NA	NA	NA	NA	NA
chr20	32358330	32439319	plus	Core	Yes	Yes	Yes	Yes	ASXL1	Mutated gene	1A	None	Defining somatic mutations in acute myeloid leukaemia, myelodysplasia-related. Cytogenetic and molecular abnormalities defining acute myeloid leukaemia, myelodysplasia-related., (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis, defined by mutations in ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, or ZRSR2 (ICC, PMID: 35767897)., (ICC, PMID: 35767897).	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Optical Genome Mapping detected a [Rearrangements, copy number loss, disrupting insertions, deletions] on chromosome 20 involving the ASXL1 gene with a variant allele frequency of []. ASXL1 mutations frequently occur in myeloid malignancies and are associated with a poor prognosis (PMID: 36068610, 28179279,27069254). ASXL1 mutations in AML were an unfavorable prognostic factor as regards survival (median overall survival 15.9 months vs. 22.3 months; P=0.019), with a significantly lower complete response rate (61% vs. 79.6%; P=0.004) (PMID: 22058207). Mutated ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, and/or ZRSR2 associated with adverse risk category (ELN, PMID: 35797463).	Truncating ASXL1 mutations were present in 5.3% of AMLs (46/882) (PMID: 22058207)
chr14	96279194	96363341	minus	No	No	Yes	No	No	ATG2B	DUPminush	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3	142449235	142578733	minus	Expanded	No	No	No	No	ATR	Exon, 33	2	Talazoparib + Enzalutamide	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr14	99169287	99272197	minus	No	Yes	Yes	No	No	BCL11B	Gene rearrangement	1A	None	Classification of T-ALL, (WHO, PMID: 35732831).	Early T-cell precursor ALLwith BCL11B rearrangement, (ICC, PMID: 35767897).	NA	NA	NA	NA	NA	NA	NA
chrX	40049815	40177329	minus	Core	Yes	Yes	Yes	Yes	BCOR	Mutated gene	1A	None	Defining somatic mutations in acute myeloid leukaemia, myelodysplasia-related. Cytogenetic and molecular abnormalities defining acute myeloid leukaemia, myelodysplasia-related., (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis. Defined by mutations in ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, or ZRSR2 (ICC, PMID: 35767897)., (ICC, PMID: 35767897).	NA	NA	NA	NA	MDS/AML (10-19%), AML (=20% blasts)	Optical Genome Mapping detected a translocation t(X;17)(p11.4;q21.2) or [rearrangement, loss, insertion, deletion] of BCOR with a variant allele frequency (VAF) of [%]. The t(X;17)(p11.4;q21.2) is a rare, but recurrent variant RARA translocation resulting a BCOR::RARA fusion (PMID: 35797463). While PML::RARA fusions are considered to have a good prognosis the exact prognosis and response to therapy for variant RARA fusions in unclear. Correlation with other clinical and pathologic findings is recommended. Mutated ASXL1, BCOR, EZH2, RUNX1, SF3B1, SRSF2, STAG2, U2AF1, and/or ZRSR2 associated with adverse risk category (ELN, PMID: 35797463, 28179279,27069254).	NA
chrX	129982634	130058071	plus	No	No	Yes	Yes	Yes	BCORL1	LOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr22	23179704	23318037	plus	No	Yes	Yes	No	No	BCR	Gene fusion	1A if fused with ABL1, otherwise 3A	None	Acute myeloid leukaemia with defining genetic abnormalities; acute myeloid leukaemia with BCR::ABL1 fusion. , (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; AML with t(9;22)(q34.1;q11.2)/BCR::ABL1§ = 20%. Classification of B-ALL; B-ALLwith t(9;22)(q34.1;q11.2)/BCR::ABL1, B-ALL, BCR::ABL1–like, ABL-1 class rearranged, B-ALL, BCR::ABL1–like, JAK-STAT activated, B-ALL, BCR::ABL1–like, NOS, (ICC, PMID: 35767897).	ABL1	NA	NA	NA	AML	Optical Genome Mapping detected a translocation t(9;22)(q34.1;q11.2) with a variant allele frequency (VAF) of [%]. The t(9;22)(q34.1;q11.2) is a recurrent abnormality resulting in a BCR::ABL1 fusion. In the context of AML it is considered to have an adverse prognosis according to the ELN 2022 (PMID: 35797463).	NA
chr12	51281037	51324174	minus	No	No	Yes	No	No	BIN2	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr15	90717346	90816166	plus	No	Yes	No	No	No	BLM	NA	1A	None	Subtypes of myeloid neoplasms associated with germline predisposition, Myeloid neoplasms with germline predisposition and potential organ dysfunction, (WHO, PMID: 35732831).	NA	NA	NA	NA	NA	NA	NA	NA
chr7	140730664	140924929	minus	Expanded	No	Yes	Yes	No	BRAF	GOF	3A	Vemurafenib + Atezolizumab + Cobimetinib	NA	NA	NA	NA	NA	NA	NA	The activating V600E BRAF mutation is found in 50% of Langerhans cell histiocytosis (LCH) myeloid neoplasms (PMID: 34996063) and is consdered a molecular marker of hairy cell leukemia (HCL) present in >95% of cases (WHO, PMID: 35732829). BRAF mutations are found in <1% of MDS cases "with clinical implications that are likely similar to those of NRAS mutations" (Lindsley (2013) PMID:22934674)	NA
chr19	12938608	12944489	plus	Core	No	Yes	Yes	No	CALR	LOF	1B for altered C terminals in MPN, 3A for AML	None	NA	NA	NA	NA	NA	NA	AML, MPN	CALR mutations are identified in 20-25% of MF and ET cases though rarely identified in de novo AML cases. PMF patients with a CALR mutation have improved survival compared to either JAK2-mutant or triple-negative patients (NCCN Guidelines - MPN 2023) and ET patients with a CALR mutation have a lower-risk of thrombosis compared to JAK2-mutated ET (NCCN Guidelines - MPN 2023). The predictive and prognostic significance of CALR in AML remain uncertain.	NA
chr16	88874857	88977207	minus	No	No	Yes	No	No	CBFA2T3	FUS	1A if fused to RUNX1 or GLIS2, otherwise 3A	None	NA	NA	NA	NA	NA	NA	NA	Optical Genome Mapping detected a translocation t(16;21)(q24.3;q22.1) or inv(16)(p13.3q24.3) with a variant allele frequency (VAF) of [%]. This is a rare, recurrent abnormality resulting in a RUNX1::CBFA2T3 or CBFA2T3::GLIS2 fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity (PMID: 35767897). Due to the rarity of this translocation the prognosis is unclear.	NA
chr16	67028984	67101058	plus	No	Yes	Yes	No	No	CBFB	Gene fusion	1A if fused with MYH11, otherwise 3A	None	Acute myeloid leukaemia with defining genetic abnormalities; Acute myeloid leukaemia with CBFB::MYH11 fusion., (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22)/CBFB::MYH11 = 10%., (ICC, PMID: 35767897).	NA	NA	NA	NA	AML	Optical Genome Mapping detected a translocation inv(16)(p13.1q22) or t(16;16)(p13.1;q22) which is a recurrent abnormality resulting in a CBFB::MYH11 fusion. In the context of AML it is considered to have a favourable favorable prognosis mainly based on results observed in intensively treated patients. Initial risk assignment may change during the treatment course based on the results from analyses of measurable residual disease. Concurrent KIT and/or FLT3 gene mutation does not alter risk categorization (ELN, PMID: 35797463)	NA
chr11	119206338	119308149	plus	Core	No	Yes	Yes	No	CBL	LOF	1B for MPN, 2 for AML, 3A for MDS	None	NA	NA	NA	NA	NA	NA	AML, MDS, MPN, AA	CBL mutations occur in 1-3% of AML cases, 1-2% of all MPN caes, 5% of MDS cases and 10-15% in MDS/MPN overlap syndromes (e.g. CMML) (NCCN Guidelines - MDS 2023). Preclinical studies have shown leukemic cells expressing mutant CBL and wild-type FLT3 are sensitive to FLT3 inhibition (Weisberg (2019) PMID: 31309543; Weisberg (2020) PMID: 31943762). The predictive and prognostic significance of CBL mutations in MDS remain uncertain. CBL mutations are associated with inferior overall survival in MF patients post allogeneic SCT (NCCN Guidelines - MPN 2022).	NA
chr9	120388874	120580167	minus	No	No	Yes	No	No	CDK5RAP2	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr9	21967751	21974857	minus	No	No	Yes	Yes	Yes	CDKN2A	LOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr13	27960917	27969315	minus	No	No	Yes	No	No	CDX2	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr19	33299934	33302534	minus	Core	Yes	Yes	Yes	No	CEBPA	LOF	1A	None	Acute myeloid leukaemia with defining genetic abnormalities; Acute myeloid leukaemia with CEBPA mutation. Subtypes of myeloid neoplasms associated with germline predisposition; Myeloid neoplasms with germline predisposition without a pre-existing platelet disorder or organ dysfunction., (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; AML with in-frame bZIP CEBPA mutations = 10%. Hematologic neoplasms with germline predisposition without a constitutional disorder affecting multiple organ systems; Myeloid neoplasms with germline CEBPA mutation (ICC, PMID: 35767897)., (ICC, PMID: 35767897).	NA	NA	NA	NA	AML (=10% blasts)	Optical Genome Mapping detected a ______ on chromosome 19 involving the CEBPA gene with a variant allele frequency of []. The prognostic significance of CEPBA structural variants is currently unclear. Correlation with other clinical and pathologic findings is required.	NA
chr22	28687743	28741834	minus	Expanded	No	No	No	No	CHEK2	NA	3A	Talazoparib + Enzalutamide	NA	NA	NA	NA	NA	NA	NA	CHEK2 was identified as the most frequent germline mutated gene in a cohort of 391 adult patients with AML. However, more data is warranted to clarify the role of germline CHEK2 mutations in the development of myeloid malignancies (Freiman et al. 2022)	NA
chr9	121074954	121177610	plus	No	No	Yes	No	No	CNTRL	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr16	3725053	3880713	minus	No	No	Yes	No	No	CREBBP	FUS	1A if fused to KAT6A, otherwise 3A	None	NA	NA	NA	NA	NA	NA	NA	Optical Genome Mapping detected a translocation t(8;16)(p11.2;p13.3) with a variant allele frequency (VAF) of [%]. The t(8;16)(p11.2;p13.3) is a rare, recurrent abnormality resulting in a KAT6A::CREBBP fusion that has been included in the most recent International Consensus Classification of Myeloid Neoplasms and, in the context of AML, is considered to be a recurrent genetic entity (PMID: 35767897). KAT6A::CREBBP associated with adverse risk category (ELN, PMID: 35797463).	NA
chrX	1190489	1212649	minus	No	No	Yes	No	No	CRLF2_chrX	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chrY	1190489	1212649	minus	No	No	Yes	No	No	CRLF2_chrY	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	36466042	36483314	minus	Core	No	Yes	Yes	No	CSF3R	GOFminush	3A for AML/MDS, activating mutation could be 2 for some MPNs	None	NA	NA	NA	NA	NA	NA	AML, MDS, MPN	CSF3R mutations are identified in approximately 2-4% of AML cases and 1-2% of MDS cases. Activating mutations of the CSF3R protein lead to constitutive JAK-STAT pathway signalling (Zhang (2017) PMID:28439110). The predictive and prognostic significance of CSF3R mutations in AML remain uncertain. Activating changes in CSF3R are a diagnostic feature of chronic neutrophilic leukemia (CNL) (WHO PMID: 31769070) but may also be identified in a subset of atypical chronic myeloid leukemia (aCML) and chronic myelomonocytic leukemia (CMML) (NCCN Guidelines - MDS 2021; Pardanani (2013) PMID:23604229, Gotlib (2013) PMID:23896413; Maxson (2013) PMID:23656643). Activating CSF3R changes are associated with more aggressive disease in CNL and sensitivity to ruxolitinib (Dao (2020) PMID:31880950, Szuber (2020) PMID:31769070). Emerging data suggests that aCML patients with CSF3R or JAK2 mutations may respond to ruxolitinib therapy in combination with HMAs (hypomethylating agent) (NCCN Guidelines - MDS 2021).	NA
chr5	138753424	138935034	plus	No	No	Yes	No	No	CTNNA1	LOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr7	101816006	102258233	plus	Expanded	No	Yes	Yes	Yes	CUX1	LOF	3A	None	NA	NA	NA	NA	NA	NA	NA	CUX1MT were present in 4% of chronic myeloid neoplasms (PMID: 31320321)The CUX1 gene, located on 7q22.1, has been characterized genetically as a haplo-insufficient tumor suppressor gene (PMID: 31320321).	NA
chr5	177511577	177516961	minus	Expanded	Yes	Yes	No	No	DDX41	LOF	1A	None	Subtypes of myeloid neoplasms associated with germline predisposition; Myeloid neoplasms with germline predisposition without a pre-existing platelet disorder or organ dysfunction, (WHO, PMID: 35732831).	Hematologic neoplasms with germline predisposition without a constitutional disorder affecting multiple organ systems; Myeloid or lymphoid neoplasms with germline DDX41 mutation, (ICC, PMID: 35767897).	NA	NA	NA	NA	NA	NA	NA
chr6	18223860	18264548	minus	No	Yes	Yes	No	No	DEK	Gene fusion	1A if fused to NUP214, otherwise 3A	None	Acute myeloid leukaemia with defining genetic abnormalities; Acute myeloid leukaemia with DEK::NUP214 fusion., (WHO, PMID: 35732831).	Classification of AML with percentage of blasts required for diagnosis; AML with t(6;9)(p22.3;q34.1)/DEK::NUP214 = 10%., (ICC, PMID: 35767897).	NA	NA	NA	NA	AML	Optical Genome Mapping detected a translocation t(6;9)(p22.3;q34.1) with a variant allele frequency (VAF) of [%]. The t(6;9)(p22.3;q34.1) is a recurrent abnormality resulting in a DEK::NUP214 fusion. In the context of AML it is considered to have a adverse favorable prognosis according to the ELN 2022 (PMID: 35797463).	NA
chrX	154762742	154777689	plus	Expanded	No	No	No	No	DKC1	Exon, 9	3A	None	NA	NA	NA	NA	NA	NA	NA	DKC1 is used to identify telomere biology disorders (TBD) patients by affecting telomere structural integrity and maintenance specifically (PMID: 35524933). DKC1 serves as a potential prognostic biomarker for human clear cell renal cell carcinoma and promotes its proliferation, migration and invasion via the NF-<U+03BA>B pathway. (PMID: 29901172)	NA
chr2	25227873	25341925	minus	Core	No	Yes	Yes	Yes	DNMT3A	LOF	3A	None	NA	NA	NA	NA	NA	NA	NA	DNMT3A mutations are identified in 15-25% of AML cases, 12-18% of MDS case and 7-10% of MPN cases. In AML, there is conflicting data on the prognostic significance of DNMT3A mutations and outcome may depend on co-occurring mutations and age (NCCN Guidelines - AML 2023). Although one study identified an association between DNMT3A mutations and a decreased overall survival in MDS (PMID:21415852), there is insufficient data on the prognosis and predictive significance of DNMT3A mutations in MDS. In one study, DNMT3A mutations were associated with a negative prognostic impact in CMML (PMID:27733013). The predictive and prognostic significance of DNMT3A in MPN remain unclear.	NA
chr5	158695919	159099916	minus	No	No	Yes	No	No	EBF1	FUS	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr5	138465478	138469303	plus	No	No	Yes	No	Yes	EGR1	LOF	2	None	NA	NA	NA	NA	NA	NA	NA	NA	NA
